[0]	validation_0-error:0.016343	validation_0-rmse:0.452705	validation_0-logloss:0.601229	validation_1-error:0.016767	validation_1-rmse:0.452745	validation_1-logloss:0.601312
[1]	validation_0-error:0.015976	validation_0-rmse:0.409988	validation_0-logloss:0.527501	validation_1-error:0.016308	validation_1-rmse:0.410053	validation_1-logloss:0.527615
[2]	validation_0-error:0.015844	validation_0-rmse:0.372743	validation_0-logloss:0.465329	validation_1-error:0.016102	validation_1-rmse:0.372829	validation_1-logloss:0.465458
[3]	validation_0-error:0.015648	validation_0-rmse:0.339786	validation_0-logloss:0.414118	validation_1-error:0.015933	validation_1-rmse:0.339883	validation_1-logloss:0.414252
[4]	validation_0-error:0.015568	validation_0-rmse:0.310466	validation_0-logloss:0.36923	validation_1-error:0.015785	validation_1-rmse:0.310575	validation_1-logloss:0.369377
[5]	validation_0-error:0.015501	validation_0-rmse:0.283802	validation_0-logloss:0.331272	validation_1-error:0.015686	validation_1-rmse:0.283936	validation_1-logloss:0.331442
[6]	validation_0-error:0.015466	validation_0-rmse:0.260431	validation_0-logloss:0.299383	validation_1-error:0.015632	validation_1-rmse:0.260588	validation_1-logloss:0.299565
[7]	validation_0-error:0.015421	validation_0-rmse:0.240325	validation_0-logloss:0.270373	validation_1-error:0.015587	validation_1-rmse:0.240491	validation_1-logloss:0.270558
[8]	validation_0-error:0.015396	validation_0-rmse:0.222048	validation_0-logloss:0.244347	validation_1-error:0.015528	validation_1-rmse:0.222232	validation_1-logloss:0.244548
[9]	validation_0-error:0.015364	validation_0-rmse:0.20603	validation_0-logloss:0.222587	validation_1-error:0.015541	validation_1-rmse:0.206238	validation_1-logloss:0.222798
[10]	validation_0-error:0.015319	validation_0-rmse:0.191888	validation_0-logloss:0.204049	validation_1-error:0.015482	validation_1-rmse:0.192116	validation_1-logloss:0.204272
[11]	validation_0-error:0.0153	validation_0-rmse:0.179966	validation_0-logloss:0.186707	validation_1-error:0.015482	validation_1-rmse:0.180217	validation_1-logloss:0.186937
[12]	validation_0-error:0.015246	validation_0-rmse:0.169551	validation_0-logloss:0.171789	validation_1-error:0.015471	validation_1-rmse:0.169832	validation_1-logloss:0.172043
[13]	validation_0-error:0.015252	validation_0-rmse:0.1605	validation_0-logloss:0.158247	validation_1-error:0.015423	validation_1-rmse:0.160801	validation_1-logloss:0.15852
[14]	validation_0-error:0.015233	validation_0-rmse:0.152842	validation_0-logloss:0.14667	validation_1-error:0.015442	validation_1-rmse:0.153154	validation_1-logloss:0.146949
[15]	validation_0-error:0.015225	validation_0-rmse:0.145967	validation_0-logloss:0.136238	validation_1-error:0.01542	validation_1-rmse:0.146323	validation_1-logloss:0.136543
[16]	validation_0-error:0.015254	validation_0-rmse:0.140324	validation_0-logloss:0.126646	validation_1-error:0.015431	validation_1-rmse:0.140734	validation_1-logloss:0.126992
[17]	validation_0-error:0.015214	validation_0-rmse:0.135786	validation_0-logloss:0.118584	validation_1-error:0.015431	validation_1-rmse:0.136219	validation_1-logloss:0.118952
[18]	validation_0-error:0.015187	validation_0-rmse:0.131435	validation_0-logloss:0.111239	validation_1-error:0.015391	validation_1-rmse:0.131881	validation_1-logloss:0.111617
[19]	validation_0-error:0.01516	validation_0-rmse:0.12798	validation_0-logloss:0.104534	validation_1-error:0.015316	validation_1-rmse:0.128452	validation_1-logloss:0.10494
[20]	validation_0-error:0.015112	validation_0-rmse:0.125177	validation_0-logloss:0.098701	validation_1-error:0.015316	validation_1-rmse:0.125675	validation_1-logloss:0.099127
[21]	validation_0-error:0.015067	validation_0-rmse:0.122756	validation_0-logloss:0.093519	validation_1-error:0.015276	validation_1-rmse:0.123262	validation_1-logloss:0.093954
[22]	validation_0-error:0.015056	validation_0-rmse:0.120816	validation_0-logloss:0.088742	validation_1-error:0.015219	validation_1-rmse:0.121335	validation_1-logloss:0.089198
[23]	validation_0-error:0.015048	validation_0-rmse:0.119143	validation_0-logloss:0.084919	validation_1-error:0.015174	validation_1-rmse:0.119676	validation_1-logloss:0.085391
[24]	validation_0-error:0.015013	validation_0-rmse:0.117885	validation_0-logloss:0.080987	validation_1-error:0.015176	validation_1-rmse:0.118419	validation_1-logloss:0.081474
[25]	validation_0-error:0.015013	validation_0-rmse:0.116898	validation_0-logloss:0.077684	validation_1-error:0.015168	validation_1-rmse:0.11745	validation_1-logloss:0.07819
[26]	validation_0-error:0.014986	validation_0-rmse:0.115781	validation_0-logloss:0.074946	validation_1-error:0.015179	validation_1-rmse:0.11639	validation_1-logloss:0.075501
[27]	validation_0-error:0.014991	validation_0-rmse:0.115138	validation_0-logloss:0.072242	validation_1-error:0.015198	validation_1-rmse:0.115758	validation_1-logloss:0.072813
[28]	validation_0-error:0.014943	validation_0-rmse:0.114451	validation_0-logloss:0.069767	validation_1-error:0.015176	validation_1-rmse:0.115102	validation_1-logloss:0.070374
[29]	validation_0-error:0.014941	validation_0-rmse:0.113917	validation_0-logloss:0.067671	validation_1-error:0.015152	validation_1-rmse:0.114568	validation_1-logloss:0.068299
[30]	validation_0-error:0.014941	validation_0-rmse:0.113424	validation_0-logloss:0.065994	validation_1-error:0.015163	validation_1-rmse:0.114108	validation_1-logloss:0.066648
[31]	validation_0-error:0.014916	validation_0-rmse:0.113182	validation_0-logloss:0.064373	validation_1-error:0.01515	validation_1-rmse:0.113909	validation_1-logloss:0.065075
[32]	validation_0-error:0.014916	validation_0-rmse:0.112787	validation_0-logloss:0.062872	validation_1-error:0.015155	validation_1-rmse:0.113526	validation_1-logloss:0.063593
[33]	validation_0-error:0.014908	validation_0-rmse:0.112577	validation_0-logloss:0.061531	validation_1-error:0.015117	validation_1-rmse:0.113327	validation_1-logloss:0.062258
[34]	validation_0-error:0.0149	validation_0-rmse:0.11232	validation_0-logloss:0.060232	validation_1-error:0.015123	validation_1-rmse:0.113059	validation_1-logloss:0.060968
[35]	validation_0-error:0.014847	validation_0-rmse:0.112113	validation_0-logloss:0.059217	validation_1-error:0.015056	validation_1-rmse:0.112864	validation_1-logloss:0.059975
[36]	validation_0-error:0.014847	validation_0-rmse:0.111961	validation_0-logloss:0.058322	validation_1-error:0.015029	validation_1-rmse:0.112731	validation_1-logloss:0.059115
[37]	validation_0-error:0.014839	validation_0-rmse:0.11187	validation_0-logloss:0.057422	validation_1-error:0.015037	validation_1-rmse:0.112652	validation_1-logloss:0.058232
[38]	validation_0-error:0.014823	validation_0-rmse:0.111557	validation_0-logloss:0.056765	validation_1-error:0.015002	validation_1-rmse:0.112357	validation_1-logloss:0.057583
[39]	validation_0-error:0.014809	validation_0-rmse:0.111407	validation_0-logloss:0.055976	validation_1-error:0.014978	validation_1-rmse:0.112231	validation_1-logloss:0.056823
[40]	validation_0-error:0.014785	validation_0-rmse:0.111338	validation_0-logloss:0.055472	validation_1-error:0.014983	validation_1-rmse:0.112188	validation_1-logloss:0.056344
[41]	validation_0-error:0.01478	validation_0-rmse:0.111293	validation_0-logloss:0.05487	validation_1-error:0.014975	validation_1-rmse:0.112165	validation_1-logloss:0.055767
[42]	validation_0-error:0.014772	validation_0-rmse:0.111188	validation_0-logloss:0.05458	validation_1-error:0.014951	validation_1-rmse:0.112061	validation_1-logloss:0.055493
[43]	validation_0-error:0.014774	validation_0-rmse:0.111129	validation_0-logloss:0.054031	validation_1-error:0.014946	validation_1-rmse:0.112019	validation_1-logloss:0.054978
[44]	validation_0-error:0.014804	validation_0-rmse:0.111131	validation_0-logloss:0.05371	validation_1-error:0.01497	validation_1-rmse:0.112035	validation_1-logloss:0.054675
[45]	validation_0-error:0.014756	validation_0-rmse:0.111065	validation_0-logloss:0.053476	validation_1-error:0.014935	validation_1-rmse:0.11199	validation_1-logloss:0.05446
[46]	validation_0-error:0.014742	validation_0-rmse:0.111008	validation_0-logloss:0.053157	validation_1-error:0.014922	validation_1-rmse:0.111929	validation_1-logloss:0.054147
[47]	validation_0-error:0.014747	validation_0-rmse:0.110988	validation_0-logloss:0.052898	validation_1-error:0.014938	validation_1-rmse:0.111928	validation_1-logloss:0.053911
[48]	validation_0-error:0.014742	validation_0-rmse:0.110962	validation_0-logloss:0.052611	validation_1-error:0.014941	validation_1-rmse:0.11191	validation_1-logloss:0.053635
[49]	validation_0-error:0.01475	validation_0-rmse:0.11095	validation_0-logloss:0.052471	validation_1-error:0.014914	validation_1-rmse:0.111904	validation_1-logloss:0.053506
[50]	validation_0-error:0.014742	validation_0-rmse:0.110925	validation_0-logloss:0.052384	validation_1-error:0.014922	validation_1-rmse:0.111877	validation_1-logloss:0.05342
[51]	validation_0-error:0.014726	validation_0-rmse:0.110834	validation_0-logloss:0.052126	validation_1-error:0.014887	validation_1-rmse:0.111806	validation_1-logloss:0.053185
[52]	validation_0-error:0.014718	validation_0-rmse:0.11082	validation_0-logloss:0.052022	validation_1-error:0.014895	validation_1-rmse:0.111798	validation_1-logloss:0.053091
[53]	validation_0-error:0.014699	validation_0-rmse:0.110799	validation_0-logloss:0.051924	validation_1-error:0.014884	validation_1-rmse:0.111769	validation_1-logloss:0.052992
[54]	validation_0-error:0.014672	validation_0-rmse:0.110746	validation_0-logloss:0.051794	validation_1-error:0.014863	validation_1-rmse:0.111734	validation_1-logloss:0.052872
[55]	validation_0-error:0.014672	validation_0-rmse:0.110714	validation_0-logloss:0.05175	validation_1-error:0.014871	validation_1-rmse:0.111707	validation_1-logloss:0.052837
[56]	validation_0-error:0.01467	validation_0-rmse:0.110674	validation_0-logloss:0.05159	validation_1-error:0.014857	validation_1-rmse:0.111674	validation_1-logloss:0.052688
