[0]	validation_0-error:0.016563	validation_0-rmse:0.452687	validation_0-logloss:0.60142	validation_1-error:0.017166	validation_1-rmse:0.452757	validation_1-logloss:0.601546
[1]	validation_0-error:0.015782	validation_0-rmse:0.409937	validation_0-logloss:0.527341	validation_1-error:0.01641	validation_1-rmse:0.410063	validation_1-logloss:0.52755
[2]	validation_0-error:0.015504	validation_0-rmse:0.372662	validation_0-logloss:0.465339	validation_1-error:0.016128	validation_1-rmse:0.372853	validation_1-logloss:0.465634
[3]	validation_0-error:0.015327	validation_0-rmse:0.339686	validation_0-logloss:0.414191	validation_1-error:0.015973	validation_1-rmse:0.339941	validation_1-logloss:0.414546
[4]	validation_0-error:0.015303	validation_0-rmse:0.31038	validation_0-logloss:0.369228	validation_1-error:0.015892	validation_1-rmse:0.310704	validation_1-logloss:0.369653
[5]	validation_0-error:0.015257	validation_0-rmse:0.283638	validation_0-logloss:0.331114	validation_1-error:0.015954	validation_1-rmse:0.284029	validation_1-logloss:0.331585
[6]	validation_0-error:0.015174	validation_0-rmse:0.260227	validation_0-logloss:0.299112	validation_1-error:0.015831	validation_1-rmse:0.260684	validation_1-logloss:0.299623
[7]	validation_0-error:0.015209	validation_0-rmse:0.24014	validation_0-logloss:0.270073	validation_1-error:0.015825	validation_1-rmse:0.240686	validation_1-logloss:0.270642
[8]	validation_0-error:0.015171	validation_0-rmse:0.22185	validation_0-logloss:0.244198	validation_1-error:0.015793	validation_1-rmse:0.222475	validation_1-logloss:0.244808
[9]	validation_0-error:0.015115	validation_0-rmse:0.205698	validation_0-logloss:0.222429	validation_1-error:0.015766	validation_1-rmse:0.206408	validation_1-logloss:0.223079
[10]	validation_0-error:0.015158	validation_0-rmse:0.191635	validation_0-logloss:0.203841	validation_1-error:0.015774	validation_1-rmse:0.192424	validation_1-logloss:0.204527
[11]	validation_0-error:0.015083	validation_0-rmse:0.179647	validation_0-logloss:0.186325	validation_1-error:0.015713	validation_1-rmse:0.180537	validation_1-logloss:0.187054
[12]	validation_0-error:0.015072	validation_0-rmse:0.169135	validation_0-logloss:0.171502	validation_1-error:0.015673	validation_1-rmse:0.170107	validation_1-logloss:0.172277
[13]	validation_0-error:0.015064	validation_0-rmse:0.16008	validation_0-logloss:0.157913	validation_1-error:0.015667	validation_1-rmse:0.161145	validation_1-logloss:0.158726
[14]	validation_0-error:0.015053	validation_0-rmse:0.152367	validation_0-logloss:0.146354	validation_1-error:0.015656	validation_1-rmse:0.153498	validation_1-logloss:0.1472
[15]	validation_0-error:0.014994	validation_0-rmse:0.145333	validation_0-logloss:0.135782	validation_1-error:0.015627	validation_1-rmse:0.146575	validation_1-logloss:0.136671
[16]	validation_0-error:0.014965	validation_0-rmse:0.139615	validation_0-logloss:0.126197	validation_1-error:0.015584	validation_1-rmse:0.140954	validation_1-logloss:0.127138
[17]	validation_0-error:0.014941	validation_0-rmse:0.13511	validation_0-logloss:0.118168	validation_1-error:0.015565	validation_1-rmse:0.13649	validation_1-logloss:0.119125
[18]	validation_0-error:0.014857	validation_0-rmse:0.130708	validation_0-logloss:0.1108	validation_1-error:0.015517	validation_1-rmse:0.13215	validation_1-logloss:0.111786
[19]	validation_0-error:0.014836	validation_0-rmse:0.12727	validation_0-logloss:0.104138	validation_1-error:0.015506	validation_1-rmse:0.128785	validation_1-logloss:0.105159
[20]	validation_0-error:0.014801	validation_0-rmse:0.124438	validation_0-logloss:0.098328	validation_1-error:0.01549	validation_1-rmse:0.126036	validation_1-logloss:0.099392
[21]	validation_0-error:0.014828	validation_0-rmse:0.122109	validation_0-logloss:0.093192	validation_1-error:0.015482	validation_1-rmse:0.123765	validation_1-logloss:0.094282
[22]	validation_0-error:0.014836	validation_0-rmse:0.120208	validation_0-logloss:0.088443	validation_1-error:0.015504	validation_1-rmse:0.121909	validation_1-logloss:0.089564
[23]	validation_0-error:0.014833	validation_0-rmse:0.118478	validation_0-logloss:0.08455	validation_1-error:0.015437	validation_1-rmse:0.120243	validation_1-logloss:0.085714
[24]	validation_0-error:0.014756	validation_0-rmse:0.11719	validation_0-logloss:0.080649	validation_1-error:0.015412	validation_1-rmse:0.119005	validation_1-logloss:0.081853
[25]	validation_0-error:0.01475	validation_0-rmse:0.116179	validation_0-logloss:0.077317	validation_1-error:0.015404	validation_1-rmse:0.118045	validation_1-logloss:0.078556
[26]	validation_0-error:0.014734	validation_0-rmse:0.115101	validation_0-logloss:0.074621	validation_1-error:0.015404	validation_1-rmse:0.116986	validation_1-logloss:0.075893
[27]	validation_0-error:0.014726	validation_0-rmse:0.11442	validation_0-logloss:0.071881	validation_1-error:0.01537	validation_1-rmse:0.116349	validation_1-logloss:0.073187
[28]	validation_0-error:0.014699	validation_0-rmse:0.113685	validation_0-logloss:0.06937	validation_1-error:0.015327	validation_1-rmse:0.115671	validation_1-logloss:0.070713
[29]	validation_0-error:0.014678	validation_0-rmse:0.113176	validation_0-logloss:0.067274	validation_1-error:0.015337	validation_1-rmse:0.115161	validation_1-logloss:0.068662
[30]	validation_0-error:0.014694	validation_0-rmse:0.112586	validation_0-logloss:0.06551	validation_1-error:0.015308	validation_1-rmse:0.114635	validation_1-logloss:0.06695
[31]	validation_0-error:0.014688	validation_0-rmse:0.112395	validation_0-logloss:0.063917	validation_1-error:0.015308	validation_1-rmse:0.114461	validation_1-logloss:0.065385
[32]	validation_0-error:0.014664	validation_0-rmse:0.111976	validation_0-logloss:0.062413	validation_1-error:0.015294	validation_1-rmse:0.114088	validation_1-logloss:0.063926
[33]	validation_0-error:0.014635	validation_0-rmse:0.111726	validation_0-logloss:0.061028	validation_1-error:0.015292	validation_1-rmse:0.113862	validation_1-logloss:0.062577
[34]	validation_0-error:0.014589	validation_0-rmse:0.11157	validation_0-logloss:0.059753	validation_1-error:0.015281	validation_1-rmse:0.113748	validation_1-logloss:0.061346
[35]	validation_0-error:0.014562	validation_0-rmse:0.111269	validation_0-logloss:0.058692	validation_1-error:0.015262	validation_1-rmse:0.113428	validation_1-logloss:0.060297
[36]	validation_0-error:0.014533	validation_0-rmse:0.111075	validation_0-logloss:0.057742	validation_1-error:0.015257	validation_1-rmse:0.113271	validation_1-logloss:0.059415
[37]	validation_0-error:0.014552	validation_0-rmse:0.111012	validation_0-logloss:0.056852	validation_1-error:0.015252	validation_1-rmse:0.113214	validation_1-logloss:0.058544
[38]	validation_0-error:0.014514	validation_0-rmse:0.110699	validation_0-logloss:0.056221	validation_1-error:0.015227	validation_1-rmse:0.112948	validation_1-logloss:0.057961
[39]	validation_0-error:0.014522	validation_0-rmse:0.11057	validation_0-logloss:0.055409	validation_1-error:0.015238	validation_1-rmse:0.112829	validation_1-logloss:0.057159
[40]	validation_0-error:0.014498	validation_0-rmse:0.110496	validation_0-logloss:0.054899	validation_1-error:0.015233	validation_1-rmse:0.112777	validation_1-logloss:0.05668
[41]	validation_0-error:0.014469	validation_0-rmse:0.110421	validation_0-logloss:0.054304	validation_1-error:0.015195	validation_1-rmse:0.112719	validation_1-logloss:0.056102
[42]	validation_0-error:0.014463	validation_0-rmse:0.110345	validation_0-logloss:0.053996	validation_1-error:0.015201	validation_1-rmse:0.112667	validation_1-logloss:0.055832
[43]	validation_0-error:0.014453	validation_0-rmse:0.110265	validation_0-logloss:0.053551	validation_1-error:0.015185	validation_1-rmse:0.112604	validation_1-logloss:0.055435
[44]	validation_0-error:0.014458	validation_0-rmse:0.110226	validation_0-logloss:0.053062	validation_1-error:0.015201	validation_1-rmse:0.112581	validation_1-logloss:0.054965
[45]	validation_0-error:0.014447	validation_0-rmse:0.110183	validation_0-logloss:0.052813	validation_1-error:0.015174	validation_1-rmse:0.112543	validation_1-logloss:0.054748
[46]	validation_0-error:0.014439	validation_0-rmse:0.110156	validation_0-logloss:0.052551	validation_1-error:0.015163	validation_1-rmse:0.112525	validation_1-logloss:0.054516
[47]	validation_0-error:0.014415	validation_0-rmse:0.110064	validation_0-logloss:0.052232	validation_1-error:0.015136	validation_1-rmse:0.112457	validation_1-logloss:0.054222
[48]	validation_0-error:0.014399	validation_0-rmse:0.110012	validation_0-logloss:0.052053	validation_1-error:0.015112	validation_1-rmse:0.112424	validation_1-logloss:0.054067
[49]	validation_0-error:0.014396	validation_0-rmse:0.109962	validation_0-logloss:0.051744	validation_1-error:0.015104	validation_1-rmse:0.112389	validation_1-logloss:0.053794
[50]	validation_0-error:0.014402	validation_0-rmse:0.109923	validation_0-logloss:0.051623	validation_1-error:0.015115	validation_1-rmse:0.112355	validation_1-logloss:0.053694
[51]	validation_0-error:0.01438	validation_0-rmse:0.109884	validation_0-logloss:0.051517	validation_1-error:0.015117	validation_1-rmse:0.112332	validation_1-logloss:0.053622
[52]	validation_0-error:0.014388	validation_0-rmse:0.109854	validation_0-logloss:0.051332	validation_1-error:0.015088	validation_1-rmse:0.112321	validation_1-logloss:0.053475
[53]	validation_0-error:0.014383	validation_0-rmse:0.109832	validation_0-logloss:0.051213	validation_1-error:0.015083	validation_1-rmse:0.112305	validation_1-logloss:0.053397
[54]	validation_0-error:0.014385	validation_0-rmse:0.109833	validation_0-logloss:0.051084	validation_1-error:0.015093	validation_1-rmse:0.112319	validation_1-logloss:0.053267
[55]	validation_0-error:0.014383	validation_0-rmse:0.109771	validation_0-logloss:0.050954	validation_1-error:0.015067	validation_1-rmse:0.112275	validation_1-logloss:0.053172
[56]	validation_0-error:0.014385	validation_0-rmse:0.109787	validation_0-logloss:0.050826	validation_1-error:0.015083	validation_1-rmse:0.112293	validation_1-logloss:0.053065
[57]	validation_0-error:0.014364	validation_0-rmse:0.109713	validation_0-logloss:0.050742	validation_1-error:0.015048	validation_1-rmse:0.112235	validation_1-logloss:0.053005
[58]	validation_0-error:0.014353	validation_0-rmse:0.109664	validation_0-logloss:0.050661	validation_1-error:0.015056	validation_1-rmse:0.11219	validation_1-logloss:0.052942
[59]	validation_0-error:0.014343	validation_0-rmse:0.109641	validation_0-logloss:0.050633	validation_1-error:0.015048	validation_1-rmse:0.112184	validation_1-logloss:0.052943
[60]	validation_0-error:0.014359	validation_0-rmse:0.109631	validation_0-logloss:0.050613	validation_1-error:0.01505	validation_1-rmse:0.112177	validation_1-logloss:0.052949
[61]	validation_0-error:0.014348	validation_0-rmse:0.109621	validation_0-logloss:0.050582	validation_1-error:0.015058	validation_1-rmse:0.11217	validation_1-logloss:0.052935
[62]	validation_0-error:0.01434	validation_0-rmse:0.109608	validation_0-logloss:0.05057	validation_1-error:0.015069	validation_1-rmse:0.112167	validation_1-logloss:0.052937
[63]	validation_0-error:0.014337	validation_0-rmse:0.109593	validation_0-logloss:0.050574	validation_1-error:0.015048	validation_1-rmse:0.112165	validation_1-logloss:0.052963
[64]	validation_0-error:0.014332	validation_0-rmse:0.109518	validation_0-logloss:0.050393	validation_1-error:0.015026	validation_1-rmse:0.112113	validation_1-logloss:0.052821
[65]	validation_0-error:0.014324	validation_0-rmse:0.109471	validation_0-logloss:0.050348	validation_1-error:0.015016	validation_1-rmse:0.112079	validation_1-logloss:0.0528
[66]	validation_0-error:0.014318	validation_0-rmse:0.109448	validation_0-logloss:0.050342	validation_1-error:0.015018	validation_1-rmse:0.112066	validation_1-logloss:0.052813
[67]	validation_0-error:0.01431	validation_0-rmse:0.109438	validation_0-logloss:0.050303	validation_1-error:0.015005	validation_1-rmse:0.112054	validation_1-logloss:0.052781
[68]	validation_0-error:0.014276	validation_0-rmse:0.109372	validation_0-logloss:0.050234	validation_1-error:0.015008	validation_1-rmse:0.112003	validation_1-logloss:0.052739
[69]	validation_0-error:0.014273	validation_0-rmse:0.109348	validation_0-logloss:0.050232	validation_1-error:0.014997	validation_1-rmse:0.111985	validation_1-logloss:0.05275
[70]	validation_0-error:0.014281	validation_0-rmse:0.109352	validation_0-logloss:0.050192	validation_1-error:0.014989	validation_1-rmse:0.111998	validation_1-logloss:0.052718
[71]	validation_0-error:0.014262	validation_0-rmse:0.109308	validation_0-logloss:0.050151	validation_1-error:0.014989	validation_1-rmse:0.111969	validation_1-logloss:0.052705
[72]	validation_0-error:0.014268	validation_0-rmse:0.109286	validation_0-logloss:0.050134	validation_1-error:0.014999	validation_1-rmse:0.111952	validation_1-logloss:0.052695
[73]	validation_0-error:0.014281	validation_0-rmse:0.109323	validation_0-logloss:0.050178	validation_1-error:0.014997	validation_1-rmse:0.111986	validation_1-logloss:0.05274
[74]	validation_0-error:0.014281	validation_0-rmse:0.1093	validation_0-logloss:0.050159	validation_1-error:0.015008	validation_1-rmse:0.111969	validation_1-logloss:0.052722
[75]	validation_0-error:0.014265	validation_0-rmse:0.109243	validation_0-logloss:0.050108	validation_1-error:0.014983	validation_1-rmse:0.111932	validation_1-logloss:0.052697
[76]	validation_0-error:0.014262	validation_0-rmse:0.109207	validation_0-logloss:0.05004	validation_1-error:0.014983	validation_1-rmse:0.111908	validation_1-logloss:0.052646
[77]	validation_0-error:0.014254	validation_0-rmse:0.109161	validation_0-logloss:0.050004	validation_1-error:0.014967	validation_1-rmse:0.111869	validation_1-logloss:0.052621
[78]	validation_0-error:0.014241	validation_0-rmse:0.109135	validation_0-logloss:0.049993	validation_1-error:0.014967	validation_1-rmse:0.111843	validation_1-logloss:0.052617
[79]	validation_0-error:0.014241	validation_0-rmse:0.109129	validation_0-logloss:0.049993	validation_1-error:0.01497	validation_1-rmse:0.111834	validation_1-logloss:0.052615
[80]	validation_0-error:0.014249	validation_0-rmse:0.109132	validation_0-logloss:0.049994	validation_1-error:0.014967	validation_1-rmse:0.111843	validation_1-logloss:0.052629
